EntityType,EntityName,PolicyName,PolicyType,Sid,Action,Resource
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appstream:describeUsageReportSubscriptions,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appstream:describeUsers,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appstream:describeUserStackAssociations,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appstream:listAssociatedFleets,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appstream:listAssociatedStacks,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appstream:listEntitledApplications,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appstream:listTagsForResource,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getApiAssociation,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getApiCache,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getDomainName,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getFunction,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getGraphqlApi,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getIntrospectionSchema,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getResolver,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getSchemaCreationStatus,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getSourceApiAssociation,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:getType,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:listDataSources,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:listDomainNames,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:listFunctions,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:listGraphqlApis,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:listResolvers,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:listResolversByFunction,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:listSourceApiAssociations,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:listTypes,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,appsync:listTypesByAssociation,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aps:describeAlertManagerDefinition,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aps:describeRuleGroupsNamespace,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aps:describeScraper,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aps:describeWorkspace,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aps:listRuleGroupsNamespaces,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aps:listScrapers,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,aps:listWorkspaces,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:batchGetNamedQuery,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:batchGetQueryExecution,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getCalculationExecution,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getCalculationExecutionStatus,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getDataCatalog,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getNamedQuery,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getNotebookMetadata,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getQueryExecution,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getQueryRuntimeStatistics,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getSession,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getSessionStatus,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getWorkGroup,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listApplicationDPUSizes,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listCalculationExecutions,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listDataCatalogs,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listEngineVersions,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listExecutors,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listNamedQueries,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listNotebookMetadata,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listNotebookSessions,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listQueryExecutions,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listSessions,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listTagsForResource,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listWorkGroups,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getCapacityAssignmentConfiguration,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:getCapacityReservation,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,athena:listCapacityReservations,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,auditmanager:getAccountStatus,*
Role,AWSServiceRoleForSupport,AWSSupportServiceRolePolicy,RoleManaged,AWSSupportActions,auditmanager:getDelegations,*
